Mural Registration ID,Image Link,Image
19170,https://cst.brightspotcdn.com/dims4/default/3ef0085/2147483647/strip/true/crop/2268x3024+882+0/resize/1440x1920!/format/webp/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2FSjnr7MA5vIjsnOSBbrM0pYi6X80%3D%2F0x0%3A4032x3024%2F4032x3024%2Ffilters%3Afocal%282016x1512%3A2017x1513%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F19990494%2FIMG_1195.jpg,Picture
19035,,#VALUE!
19422,https://img-cache.oppcdn.com/fixed/38127/assets/chLLiYtSYqW8FD7a.jpg,Picture
19413,https://bronzevillelife.com/wp-content/uploads/2019/06/IMG_9891-400x267.jpg,#VALUE!
19216,https://www.chicago.gov/content/dam/city/depts/dca/Public%20Art/mural_registry/grid_gallery/blockbyblock.jpg,Picture
19414,https://cst.brightspotcdn.com/dims4/default/250bd58/2147483647/strip/true/crop/4801x3429+0+0/resize/1680x1200!/format/webp/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2FYgQVlYJBgW7o-zNpKARVLOzaPGI%3D%2F0x0%3A4801x3429%2F4801x3429%2Ffilters%3Afocal%282401x1715%3A2402x1716%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F19607030%2Fmerlin_84257701.jpg,#VALUE!
19176,https://c.files.bbci.co.uk/E696/production/_108503095_gettyimages-1143275796.jpg,Picture
19107,,#VALUE!
19192,,#VALUE!
19117,https://cdn.myportfolio.com/2a5ef8bc53366a0a5830e36fe403a8c8/280088ac-61a8-46be-8608-f4235e47676e_rw_1920.jpg?h=04b700b2a62ad1292d70a1d5ae06f17a,Picture
